Incident Number,Date/Time,Address,Incident Type,Completed,Reviewed,,,,,
0000021 - 000,1/2/21 2:21,1655 Mill St  # BLDG 2,"321 - EMS call, excluding vehicle accident with injury",Yes,Yes,,,,,
0000023 - 000,1/2/21 2:30,900 Sycamore St,324 - Motor vehicle accident with no injuries,Yes,Yes,,,,,
0000024 - 000,1/2/21 4:17,601 Field Corn Ln,381 - Rescue or EMS standby,Yes,Yes,,,,,
0000025 - 000,1/2/21 5:14,1703 N IH 35  # 5C,611E - EMS: Dispatched & cancelled en route,Yes,Yes,,,,,
0000026 - 000,1/2/21 8:22,204 E Mimosa Cir,381 - Rescue or EMS standby,Yes,Yes,,,,,
0000027 - 000,1/2/21 8:54,2600 Hunter Rd  # 3202,611 - Dispatched & cancelled en route,Yes,Yes,,,,,
0000028 - 000,1/2/21 9:50,306 Durango St,"321 - EMS call, excluding vehicle accident with injury",Yes,Yes,,,,,
0000029 - 000,1/2/21 10:51,801 Sturgeon Dr,381 - Rescue or EMS standby,Yes,Yes,,,,,
0000030 - 000,1/2/21 12:31,1601 N Aqaurena,551 - Assist police or other governmental agency,Yes,Yes,,,,,
0000031 - 000,1/2/21 12:44,1401 E McCarty Ln,611 - Dispatched & cancelled en route,Yes,Yes,,,,,
0000032 - 000,1/2/21 15:14,129 E Hopkins St  # 120,"321 - EMS call, excluding vehicle accident with injury",Yes,Yes,,,,,
0000033 - 000,1/2/21 15:45,1350 N LBJ Dr  # 117,"653 - Barbecue, tar kettle",Yes,Yes,,,,,
0000034 - 000,1/2/21 16:12,2213 S IH 35,442 - Overheated motor,Yes,Yes,,,,,
0000035 - 000,1/2/21 16:38,105 Espada Dr,554 - Assist invalid,Yes,Yes,,,,,
0000036 - 000,1/2/21 22:24,159 Coral Ln,381 - Rescue or EMS standby,Yes,Yes,,,,,
0000037 - 000,1/2/21 23:33,Wonder World Dr,324 - Motor vehicle accident with no injuries,Yes,Yes,,,,,
0000038 - 000,1/3/21 0:03,157 Palermo Dr,611E - EMS: Dispatched & cancelled en route,Yes,Yes,,,,,
0000039 - 000,1/3/21 0:51,1701 Mill St  # 37201,381 - Rescue or EMS standby,Yes,Yes,,,,,
0000041 - 000,1/3/21 1:17,200 Dolly St  # BACKYARD,"150 - Outside rubbish fire, other",Yes,Yes,,,,,
0000042 - 000,1/3/21 1:22,1980 Aquarena Springs Dr  # LEASING,"321 - EMS call, excluding vehicle accident with injury",Yes,Yes,,,,,
0000043 - 000,1/3/21 6:22,On Barnes Dr  at E McCarty Ln,324 - Motor vehicle accident with no injuries,Yes,Yes,,,,,
0000044 - 000,1/3/21 6:39,328 Lookout Ridge Lp,381 - Rescue or EMS standby,Yes,Yes,,,,,
0000045 - 000,1/3/21 9:22,204 SB,"550 - Public service assistance, other",Yes,Yes,,,,,
0000046 - 000,1/3/21 10:17,204 SB,551 - Assist police or other governmental agency,Yes,Yes,,,,,
0000047 - 000,1/3/21 14:36,1951 Aquarena Springs Dr  # 6201,"321 - EMS call, excluding vehicle accident with injury",Yes,Yes,,,,,
0000048 - 000,1/3/21 14:43,208 NB,324 - Motor vehicle accident with no injuries,Yes,Yes,,,,,
0000049 - 000,1/3/21 14:52,208 NB,324 - Motor vehicle accident with no injuries,Yes,Yes,,,,,
0000050 - 000,1/3/21 15:06,1600 N IH 35  # 404,"321 - EMS call, excluding vehicle accident with injury",Yes,Yes,,,,,
0000052 - 000,1/3/21 17:19,On Mill St  at Third St,324 - Motor vehicle accident with no injuries,Yes,Yes,,,,,
0000053 - 000,1/3/21 18:26,2106 Hunter Rd,611 - Dispatched & cancelled en route,Yes,Yes,,,,,
0000054 - 000,1/3/21 19:38,1201 Thorpe Ln  # 82,554 - Assist invalid,Yes,Yes,,,,,
0000055 - 000,1/3/21 19:39,550 Barnes Dr,"321 - EMS call, excluding vehicle accident with injury",Yes,Yes,,,,,
0000056 - 000,1/3/21 20:07,1011 Uhland Rd  # 58,"321 - EMS call, excluding vehicle accident with injury",Yes,Yes,,,,,
0000057 - 000,1/3/21 22:46,1201 Thorpe Ln  # 82,"321 - EMS call, excluding vehicle accident with injury",Yes,Yes,,,,,
0000058 - 000,1/4/21 1:22,1410 N LBJ Dr  # 911,381 - Rescue or EMS standby,Yes,Yes,,,,,
0000059 - 000,1/4/21 1:29,300 S Stagecoach Trl  # 1212,"321 - EMS call, excluding vehicle accident with injury",Yes,Yes,,,,,
0000060 - 000,1/4/21 4:26,Hwy 80,"151 - Outside rubbish, trash or waste fire",Yes,Yes,,,,,
0000061 - 000,1/4/21 4:32,217 Wisteria Way,"311 - Medical assist, assist EMS crew",Yes,Yes,,,,,
0000062 - 000,1/4/21 5:56,205 NB,551 - Assist police or other governmental agency,Yes,Yes,,,,,
0000063 - 000,1/4/21 6:05,On Hwy 80  at Hwy 21,611 - Dispatched & cancelled en route,Yes,Yes,,,,,
0000064 - 000,1/4/21 7:00,345 Champions Blvd  # 1221,"311 - Medical assist, assist EMS crew",Yes,Yes,,,,,
0000065 - 000,1/4/21 8:09,River Rd,551 - Assist police or other governmental agency,Yes,Yes,,,,,
0000066 - 000,1/4/21 9:26,155 Wonder World Dr  # RM 4,381 - Rescue or EMS standby,Yes,Yes,,,,,
0000067 - 000,1/4/21 10:27,1108 Hwy 80,322 - Vehicle accident with injuries,Yes,Yes,,,,,
0000068 - 000,1/4/21 10:39,1108 Hwy 80,322 - Vehicle accident with injuries,Yes,Yes,,,,,
0000069 - 000,1/4/21 10:55,199 SB,611 - Dispatched & cancelled en route,Yes,Yes,,,,,
0000070 - 000,1/4/21 13:06,300 S Stagecoach Trl  # 3111,381 - Rescue or EMS standby,Yes,Yes,,,,,
0000071 - 000,1/4/21 13:50,Gravel St,611 - Dispatched & cancelled en route,Yes,Yes,,,,,
0000072 - 000,1/4/21 14:33,204 E Mimosa Cir,"321 - EMS call, excluding vehicle accident with injury",Yes,Yes,,,,,
0000074 - 000,1/4/21 14:37,Centerpoint Rd,551 - Assist police or other governmental agency,Yes,Yes,,,,,
0000075 - 000,1/4/21 14:58,1106 N IH 35  # OUTSIDE,611E - EMS: Dispatched & cancelled en route,Yes,Yes,,,,,
0000076 - 000,1/4/21 15:54,1900 Medical Pkwy  # 207,381 - Rescue or EMS standby,Yes,Yes,,,,,
0000077 - 000,1/4/21 18:07,1401 E McCarty Ln,611 - Dispatched & cancelled en route,Yes,Yes,,,,,
0000078 - 000,1/4/21 19:40,Bugg Ln,323 - Motor vehicle/pedestrian accident (MV Ped),Yes,Yes,,,,,
0000079 - 000,1/4/21 20:09,404 Lookout Ridge Lp,381 - Rescue or EMS standby,Yes,Yes,,,,,
0000080 - 000,1/4/21 20:36,900 Peques St  # BLDG 3,522 - Water or steam leak,Yes,Yes,,,,,
0000081 - 000,1/4/21 22:34,2913 Hunter Rd  # BLG 6,733 - Smoke detector activation due to malfunction,Yes,Yes,,,,,
0000082 - 000,1/4/21 23:06,3891 FM 1978,"321 - EMS call, excluding vehicle accident with injury",Yes,Yes,,,,,
0000083 - 000,1/5/21 0:07,1401 Wonder World Dr  # N. WING,611 - Dispatched & cancelled en route,Yes,Yes,,,,,
0000084 - 000,1/5/21 0:21,345 Champions Blvd  # 712,381 - Rescue or EMS standby,Yes,Yes,,,,,
0000085 - 000,1/5/21 1:26,1720 Old Ranch Road 12  # 213,"321 - EMS call, excluding vehicle accident with injury",Yes,Yes,,,,,
0000086 - 000,1/5/21 5:04,233 Bridlewood Dr,381 - Rescue or EMS standby,Yes,Yes,,,,,
0000087 - 000,1/5/21 5:43,300 S Stagecoach Trl  # 1307,"321 - EMS call, excluding vehicle accident with injury",Yes,Yes,,,,,
0000088 - 000,1/5/21 9:12,1900 Medical Pkwy  # 212A,381 - Rescue or EMS standby,Yes,Yes,,,,,
0000089 - 000,1/5/21 9:39,1401 Wonder World Dr  # 126,"321 - EMS call, excluding vehicle accident with injury",Yes,Yes,,,,,
0000090 - 000,1/5/21 9:59,1900 Aquarena Springs Dr  # 8101,381 - Rescue or EMS standby,Yes,Yes,,,,,
0000091 - 000,1/5/21 10:17,Del Sol Dr,611 - Dispatched & cancelled en route,Yes,Yes,,,,,
0000092 - 000,1/5/21 10:58,1303 Uhland Rd,354 - Trench/below grade rescue,Yes,Yes,,,,,
0000093 - 000,1/5/21 15:12,2600 Hunter Rd  # 5202,"321 - EMS call, excluding vehicle accident with injury",Yes,Yes,,,,,
0000094 - 000,1/5/21 16:29,503 Uhland Rd  # 104,381 - Rescue or EMS standby,Yes,Yes,,,,,
0000095 - 000,1/5/21 17:35,319 Riverside Dr,611E - EMS: Dispatched & cancelled en route,Yes,Yes,,,,,
0000096 - 000,1/5/21 17:52,1201 Thorpe Ln  # 103,611 - Dispatched & cancelled en route,Yes,Yes,,,,,
0000097 - 000,1/5/21 18:33,1600 N IH 35  # D-408,381 - Rescue or EMS standby,Yes,Yes,,,,,
0000099 - 000,1/5/21 19:12,1701 Mill St  # BLDG 34,"118 - Trash or rubbish fire, contained",Yes,Yes,,,,,
0000100 - 000,1/5/21 21:42,1201 Thorpe Ln  # 82,611 - Dispatched & cancelled en route,Yes,Yes,,,,,
0000101 - 000,1/6/21 3:08,1201 Thorpe Ln  # 82,611 - Dispatched & cancelled en route,Yes,Yes,,,,,
0000102 - 000,1/6/21 4:35,N LBJ Dr,"311 - Medical assist, assist EMS crew",Yes,Yes,,,,,
0000103 - 000,1/6/21 7:26,1401 Wonder World Dr  # 111,"311 - Medical assist, assist EMS crew",Yes,Yes,,,,,
0000104 - 000,1/6/21 8:24,On Wonder World Dr  at E Access Rd,324 - Motor vehicle accident with no injuries,Yes,Yes,,,,,
0000105 - 000,1/6/21 10:14,On E Access Rd  at Hwy 123,324 - Motor vehicle accident with no injuries,Yes,Yes,,,,,
0000106 - 000,1/6/21 10:19,114 E Hutchison St  # BEHIND,552 - Police matter,Yes,Yes,,,,,
0000107 - 000,1/6/21 12:45,641 E Hopkins St,"600 - Good intent call, other",Yes,Yes,,,,,
0000108 - 000,1/6/21 12:47,1351 Sadler Dr  # 304A,611 - Dispatched & cancelled en route,Yes,Yes,,,,,
0000109 - 000,1/6/21 14:27,250 S Stagecoach Trl,611E - EMS: Dispatched & cancelled en route,Yes,Yes,,,,,
0000110 - 000,1/6/21 14:41,151 S Stagecoach Trl  # 105,"321 - EMS call, excluding vehicle accident with injury",Yes,Yes,,,,,
0000111 - 000,1/6/21 15:51,200 E De Zavala Dr,553 - Public service,Yes,Yes,,,,,
0000112 - 000,1/6/21 16:01,LBJ Cv,631 - Authorized controlled burning,Yes,Yes,,,,,
0000113 - 000,1/6/21 16:14,314 Brazoria Trl,"321 - EMS call, excluding vehicle accident with injury",Yes,Yes,,,,,
0000114 - 000,1/6/21 16:27,300 S Stagecoach Trl  # 2207,"321 - EMS call, excluding vehicle accident with injury",Yes,Yes,,,,,
0000115 - 000,1/6/21 16:41,N C M Allen Pkwy,322 - Vehicle accident with injuries,Yes,Yes,,,,,
0000116 - 000,1/6/21 17:45,On Mill St  at Telluride St,322 - Vehicle accident with injuries,Yes,Yes,,,,,
0000117 - 000,1/6/21 18:10,2600 Hunter Rd  # 4205,"321 - EMS call, excluding vehicle accident with injury",Yes,Yes,,,,,
0000118 - 000,1/6/21 19:56,199 SB,324 - Motor vehicle accident with no injuries,Yes,Yes,,,,,
0000119 - 000,1/6/21 20:53,1203 Uhland Rd  # 13,"321 - EMS call, excluding vehicle accident with injury",Yes,Yes,,,,,
0000120 - 000,1/6/21 22:36,219 Alford St,381 - Rescue or EMS standby,Yes,Yes,,,,,
0000121 - 000,1/6/21 23:24,737 Gravel St,611E - EMS: Dispatched & cancelled en route,Yes,Yes,,,,,
0000122 - 000,1/6/21 23:59,309 Mary Max Cir,"321 - EMS call, excluding vehicle accident with injury",Yes,Yes,,,,,
0000123 - 000,1/7/21 3:52,1106 N IH 35,552 - Police matter,Yes,Yes,,,,,
0000124 - 000,1/7/21 3:59,1451 Sadler Dr  # 4108,733 - Smoke detector activation due to malfunction,Yes,Yes,,,,,
0000125 - 000,1/7/21 5:43,1005 Dartmouth Ave,381 - Rescue or EMS standby,Yes,Yes,,,,,
0000126 - 000,1/7/21 8:15,305 Racing Oak Lp,733 - Smoke detector activation due to malfunction,Yes,Yes,,,,,
0000127 - 000,1/7/21 8:47,1401 Wonder World Dr  # 223,381 - Rescue or EMS standby,Yes,Yes,,,,,
0000129 - 000,1/7/21 9:23,2101 Hwy 123,381 - Rescue or EMS standby,Yes,Yes,,,,,
0000130 - 000,1/7/21 10:44,1720 Old Ranch Road 12  # C217,"321 - EMS call, excluding vehicle accident with injury",Yes,Yes,,,,,
0000131 - 000,1/7/21 10:58,204 NB,324 - Motor vehicle accident with no injuries,Yes,Yes,,,,,
0000132 - 000,1/7/21 12:09,130 Algarita Rd,"321 - EMS call, excluding vehicle accident with injury",Yes,Yes,,,,,
0000133 - 000,1/7/21 12:25,199 SB,611 - Dispatched & cancelled en route,Yes,Yes,,,,,
0000134 - 000,1/7/21 13:28,2809 S IH 35,381 - Rescue or EMS standby,Yes,Yes,,,,,
0000135 - 000,1/7/21 13:32,1202 Clovis Barker Rd,381 - Rescue or EMS standby,Yes,Yes,,,,,
0000136 - 000,1/7/21 14:43,202 NB,324 - Motor vehicle accident with no injuries,Yes,Yes,,,,,
0000137 - 000,1/7/21 15:27,204 NB,324 - Motor vehicle accident with no injuries,Yes,Yes,,,,,
0000138 - 000,1/7/21 16:24,2301 N IH 35,381 - Rescue or EMS standby,Yes,Yes,,,,,
0000139 - 000,1/7/21 16:59,1600 N IH 35  # 110B,"321 - EMS call, excluding vehicle accident with injury",Yes,Yes,,,,,
0000140 - 000,1/7/21 17:03,1439 N IH 35,553 - Public service,Yes,Yes,,,,,
0000142 - 000,1/7/21 18:32,1451 Sadler Dr,"745 - Alarm system sounded, no fire - unintentional",Yes,Yes,,,,,
0000143 - 000,1/7/21 19:32,Broadway St,324 - Motor vehicle accident with no injuries,Yes,Yes,,,,,
0000144 - 000,1/7/21 19:40,807 Sturgeon Dr,"321 - EMS call, excluding vehicle accident with injury",Yes,Yes,,,,,
0000145 - 000,1/7/21 20:09,519 N Bishop St,381 - Rescue or EMS standby,Yes,Yes,,,,,
0000146 - 000,1/7/21 20:55,1608 Staples Rd,611 - Dispatched & cancelled en route,Yes,Yes,,,,,
0000147 - 000,1/7/21 21:57,1801 Oak Grove Rd,611 - Dispatched & cancelled en route,Yes,Yes,,,,,
0000148 - 000,1/7/21 23:04,1351 Thorpe Ln  # 230B,111R - Building fire - Residential,Yes,Yes,,,,,
0000149 - 000,1/8/21 7:50,198 SB,324 - Motor vehicle accident with no injuries,Yes,Yes,,,,,
0000150 - 000,1/8/21 8:09,222 Tallow Trl,611 - Dispatched & cancelled en route,Yes,Yes,,,,,
0000151 - 000,1/8/21 9:27,205 NB,324 - Motor vehicle accident with no injuries,Yes,Yes,,,,,
0000152 - 000,1/8/21 10:13,1409 Prospect St,"321 - EMS call, excluding vehicle accident with injury",Yes,Yes,,,,,
0000153 - 000,1/8/21 11:39,800 Barnes Dr,381 - Rescue or EMS standby,Yes,Yes,,,,,
0000154 - 000,1/8/21 15:22,1707 Aquarena Springs Dr  # 136,512 - Ring or jewelry removal,Yes,Yes,,,,,
0000155 - 000,1/8/21 15:33,199 W Access Rd,324 - Motor vehicle accident with no injuries,Yes,Yes,,,,,
0000156 - 000,1/8/21 15:58,913 N IH 35,381 - Rescue or EMS standby,Yes,Yes,,,,,
0000157 - 000,1/8/21 17:42,206 NB,551 - Assist police or other governmental agency,Yes,Yes,,,,,
0000158 - 000,1/8/21 18:03,201 Springtown Way,611 - Dispatched & cancelled en route,Yes,Yes,,,,,
0000159 - 000,1/8/21 22:43,1506 S IH 35  # 4214,"321 - EMS call, excluding vehicle accident with injury",Yes,Yes,,,,,
0000161 - 000,1/8/21 23:43,300 S Stagecoach Trl  # 1226,381 - Rescue or EMS standby,Yes,Yes,,,,,
0000162 - 000,1/9/21 1:46,2207 S IH 35,671 - Hazmat release investigation w/ no hazmat,Yes,Yes,,,,,
0000163 - 000,1/9/21 2:31,1740 Old Ranch Road 12  # 817,381 - Rescue or EMS standby,Yes,Yes,,,,,
0000164 - 000,1/9/21 6:22,407 Easton Dr,381 - Rescue or EMS standby,Yes,Yes,,,,,
0000165 - 000,1/9/21 7:14,205 N SB  # Sb Right,553 - Public service,Yes,Yes,,,,,
0000166 - 000,1/9/21 7:24,199 S SB,324 - Motor vehicle accident with no injuries,Yes,Yes,,,,,
0000167 - 000,1/9/21 8:50,903 Barbara Dr,"321 - EMS call, excluding vehicle accident with injury",Yes,Yes,,,,,
0000168 - 000,1/9/21 13:17,204 Oakdale Dr,"321 - EMS call, excluding vehicle accident with injury",Yes,Yes,,,,,
0000169 - 000,1/9/21 13:19,On E Gil Dr  at E Access Rd,324 - Motor vehicle accident with no injuries,Yes,Yes,,,,,
0000170 - 000,1/9/21 13:22,3939 S IH 35  # 1270,"321 - EMS call, excluding vehicle accident with injury",Yes,Yes,,,,,
0000171 - 000,1/9/21 16:57,1350 Wonder World Dr  # BLDG 1,"600 - Good intent call, other",Yes,Yes,,,,,
0000172 - 000,1/9/21 17:30,1600 N LBJ Dr  # BEHIND,631 - Authorized controlled burning,Yes,Yes,,,,,
0000173 - 000,1/9/21 17:43,205 NB,324 - Motor vehicle accident with no injuries,Yes,Yes,,,,,
0000174 - 000,1/9/21 17:51,1307 Uhland Rd,735 - Alarm system sounded due to malfunction,Yes,Yes,,,,,
0000175 - 000,1/9/21 17:51,8 Greenpointe,611E - EMS: Dispatched & cancelled en route,Yes,Yes,,,,,
0000176 - 000,1/9/21 17:54,1307 N Bishop St,"321 - EMS call, excluding vehicle accident with injury",Yes,Yes,,,,,
0000177 - 000,1/9/21 18:05,On Broadway St  at Hwy 123,611 - Dispatched & cancelled en route,Yes,Yes,,,,,
0000178 - 000,1/9/21 19:06,900 Hwy 80,324 - Motor vehicle accident with no injuries,Yes,Yes,,,,,
0000179 - 000,1/9/21 19:12,202 NB,322 - Vehicle accident with injuries,Yes,Yes,,,,,
0000180 - 000,1/9/21 19:32,On Hunter Rd  at Wonder World Dr,324 - Motor vehicle accident with no injuries,Yes,Yes,,,,,
0000181 - 000,1/9/21 20:48,1980 Aquarena Springs Dr  # 3314,"321 - EMS call, excluding vehicle accident with injury",Yes,Yes,,,,,
0000182 - 000,1/9/21 21:06,1518 Old Ranch Road 12  # 1405,"321 - EMS call, excluding vehicle accident with injury",Yes,Yes,,,,,
0000183 - 000,1/9/21 23:13,1307 Uhland Rd,742 - Extinguishing system activation,Yes,Yes,,,,,
0000184 - 000,1/9/21 23:15,801 River Rd  # 244,"321 - EMS call, excluding vehicle accident with injury",Yes,Yes,,,,,
0000185 - 000,1/10/21 1:40,2900 Hunter Rd,"321 - EMS call, excluding vehicle accident with injury",Yes,Yes,,,,,
0000186 - 000,1/10/21 2:22,109 W Sierra Cir,"321 - EMS call, excluding vehicle accident with injury",Yes,Yes,,,,,
0000187 - 000,1/10/21 7:24,1415 Craddock Ave  # 2121,381 - Rescue or EMS standby,Yes,Yes,,,,,
0000188 - 000,1/10/21 8:34,416 Broadway St,"321 - EMS call, excluding vehicle accident with injury",Yes,Yes,,,,,
0000189 - 000,1/10/21 8:59,2600 Hunter Rd  # 1215,611E - EMS: Dispatched & cancelled en route,Yes,Yes,,,,,
0000191 - 000,1/10/21 12:07,1641 Sh 80  # TRL 3,611E - EMS: Dispatched & cancelled en route,Yes,Yes,,,,,
0000192 - 000,1/10/21 12:31,Falconwood Dr,324 - Motor vehicle accident with no injuries,Yes,Yes,,,,,
0000193 - 000,1/10/21 13:02,1015 Hwy 80,522 - Water or steam leak,Yes,Yes,,,,,
0000194 - 000,1/10/21 13:20,401 S Guadalupe St  # 355,381 - Rescue or EMS standby,Yes,Yes,,,,,
0000195 - 000,1/10/21 14:07,W Sessom Dr,324 - Motor vehicle accident with no injuries,Yes,Yes,,,,,
0000196 - 000,1/10/21 15:13,200 NB,611 - Dispatched & cancelled en route,Yes,Yes,,,,,
0000197 - 000,1/10/21 15:15,204 NB,553 - Public service,Yes,Yes,,,,,
0000198 - 000,1/10/21 15:28,1401 Wonder World Dr  # 123,381 - Rescue or EMS standby,Yes,Yes,,,,,
0000199 - 000,1/10/21 16:27,2913 Hunter Rd  # 924,733 - Smoke detector activation due to malfunction,Yes,Yes,,,,,
0000200 - 000,1/10/21 17:22,201 NB,551 - Assist police or other governmental agency,Yes,Yes,,,,,
0000201 - 000,1/10/21 18:02,1506 S IH 35  # 4412,553 - Public service,Yes,Yes,,,,,
0000202 - 000,1/10/21 20:48,Aquarena Springs Dr,611 - Dispatched & cancelled en route,Yes,Yes,,,,,
0000203 - 000,1/10/21 23:18,100 Warden Ln  # 119,381 - Rescue or EMS standby,Yes,Yes,,,,,
0000204 - 000,1/11/21 0:34,1115 Marlton St,611 - Dispatched & cancelled en route,Yes,Yes,,,,,
0000206 - 000,1/11/21 4:04,1360 Thorpe Ln  # 6208,611E - EMS: Dispatched & cancelled en route,Yes,Yes,,,,,
0000207 - 000,1/11/21 6:50,650 River Rd  # 4210,"311 - Medical assist, assist EMS crew",Yes,Yes,,,,,
0000208 - 000,1/11/21 8:35,199 NB,413 - Oil or other combustible liquid spill,Yes,Yes,,,,,
0000209 - 000,1/11/21 8:38,199 NB,551 - Assist police or other governmental agency,Yes,Yes,,,,,
0000210 - 000,1/11/21 8:46,902 Conway Dr,"311 - Medical assist, assist EMS crew",Yes,Yes,,,,,
0000211 - 000,1/11/21 13:23,502 Parkdale Dr,611 - Dispatched & cancelled en route,Yes,Yes,,,,,
0000213 - 000,1/11/21 14:13,4015 S IH 35  # 720,"510 - Person in distress, other",Yes,Yes,,,,,
0000215 - 000,1/11/21 14:40,On E Hopkins St  at W Access Rd,324 - Motor vehicle accident with no injuries,Yes,Yes,,,,,
0000216 - 000,1/11/21 18:20,1264 Hilltop Dr,"321 - EMS call, excluding vehicle accident with injury",Yes,Yes,,,,,
0000218 - 000,1/11/21 20:42,520 S Guadalupe St  # 103,"113 - Cooking fire, confined to container",Yes,Yes,,,,,
0000219 - 000,1/11/21 22:44,1200 W San Antonio St,381 - Rescue or EMS standby,Yes,Yes,,,,,
0000220 - 000,1/12/21 0:29,1001 E McCarty Ln,611 - Dispatched & cancelled en route,Yes,Yes,,,,,
0000222 - 000,1/12/21 5:50,1413 Harper Dr,"311 - Medical assist, assist EMS crew",Yes,Yes,,,,,
0000225 - 000,1/12/21 8:33,204 NB,551 - Assist police or other governmental agency,Yes,Yes,,,,,
0000227 - 000,1/12/21 8:52,2540 S IH 35 Dr,611 - Dispatched & cancelled en route,Yes,Yes,,,,,
0000228 - 000,1/12/21 8:59,312 Jackman St,554 - Assist invalid,Yes,Yes,,,,,
0000230 - 000,1/12/21 9:46,210 NB,324 - Motor vehicle accident with no injuries,Yes,Yes,,,,,
0000231 - 000,1/12/21 13:01,1103 Hwy 80,322 - Vehicle accident with injuries,Yes,Yes,,,,,
0000233 - 000,1/12/21 14:51,2600 Hunter Rd  # 3102,"321 - EMS call, excluding vehicle accident with injury",Yes,Yes,,,,,
0000234 - 000,1/12/21 15:20,1600 N IH 35  # 108,"321 - EMS call, excluding vehicle accident with injury",Yes,Yes,,,,,
0000235 - 000,1/12/21 15:52,189 Alhambra Dr,"321 - EMS call, excluding vehicle accident with injury",Yes,Yes,,,,,
0000236 - 000,1/12/21 16:26,204 SB,"600 - Good intent call, other",Yes,Yes,,,,,
0000237 - 000,1/12/21 18:23,1360 Thorpe Ln  # 6102,"321 - EMS call, excluding vehicle accident with injury",Yes,Yes,,,,,
0000238 - 000,1/12/21 20:53,350 North St  # 1309 B,"743 - Smoke detector activation, no fire - unintentional",Yes,Yes,,,,,
0000239 - 000,1/13/21 0:09,401 N Fredericksburg St  # 1509,"321 - EMS call, excluding vehicle accident with injury",Yes,Yes,,,,,
0000240 - 000,1/13/21 1:12,112 West Ave  # 210,611 - Dispatched & cancelled en route,Yes,Yes,,,,,
0000241 - 000,1/13/21 4:17,1637 Post Rd  # C105,611E - EMS: Dispatched & cancelled en route,Yes,Yes,,,,,
0000242 - 000,1/13/21 4:53,201 NB,322 - Vehicle accident with injuries,Yes,Yes,,,,,
0000243 - 000,1/13/21 6:24,505 Mill St,"321 - EMS call, excluding vehicle accident with injury",Yes,Yes,,,,,
0000244 - 000,1/13/21 7:51,Hwy 80,324 - Motor vehicle accident with no injuries,Yes,Yes,,,,,
0000245 - 000,1/13/21 8:25,237 N LBJ Dr,"651 - Smoke scare, odor of smoke",Yes,Yes,,,,,
0000246 - 000,1/13/21 11:34,Aquarena Springs Dr,324 - Motor vehicle accident with no injuries,Yes,Yes,,,,,
0000247 - 000,1/13/21 12:49,1951 Aquarena Springs Dr  # 7202,"311 - Medical assist, assist EMS crew",Yes,Yes,,,,,
0000248 - 000,1/13/21 13:43,625 E Hopkins St,412 - Gas leak (natural gas or LPG),Yes,Yes,,,,,
0000249 - 000,1/13/21 15:08,1401 Wonder World Dr  # 10,381 - Rescue or EMS standby,Yes,Yes,,,,,
0000250 - 000,1/13/21 15:29,201 SB,553 - Public service,Yes,Yes,,,,,
0000252 - 000,1/13/21 15:33,102 Student Center Dr  # C,"651 - Smoke scare, odor of smoke",Yes,Yes,,,,,
0000253 - 000,1/13/21 17:42,1104 Thorpe Ln  # T,611 - Dispatched & cancelled en route,Yes,Yes,,,,,
0000254 - 000,1/13/21 17:56,1201 Thorpe Ln  # 82,611 - Dispatched & cancelled en route,Yes,Yes,,,,,
0000255 - 000,1/13/21 18:10,926 Overcup Dr,"311 - Medical assist, assist EMS crew",Yes,Yes,,,,,
